"categoria","producto","ficha","imagen","archivo"
"colesterol","krill-duo","https://www.guiavitaminway.com.ar/colesterol/krill-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/88/foto_krill_duo-88a3ef46.jpeg","colesterol\krill-duo\03_foto_krill_duo-88a3ef46.jpeg"
"colesterol","krill-duo","https://www.guiavitaminway.com.ar/colesterol/krill-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/b3/foto_krill_duo-b3c5875a.jpeg","colesterol\krill-duo\04_foto_krill_duo-b3c5875a.jpeg"
"colesterol","krill-duo","https://www.guiavitaminway.com.ar/colesterol/krill-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/de/Inf._Nutricional_Krill_DUO-de6d0dac.jpeg","colesterol\krill-duo\05_Inf._Nutricional_Krill_DUO-de6d0dac.jpeg"
"colesterol","omega-3","https://www.guiavitaminway.com.ar/colesterol/omega-3","https://www.guiavitaminway.com.ar/templates/yootheme/cache/03/foto_omega3-039e1868.jpeg","colesterol\omega-3\01_foto_omega3-039e1868.jpeg"
"colesterol","omega-3","https://www.guiavitaminway.com.ar/colesterol/omega-3","https://www.guiavitaminway.com.ar/templates/yootheme/cache/20/foto_omega3-206518fb.jpeg","colesterol\omega-3\02_foto_omega3-206518fb.jpeg"
"colesterol","omega-3","https://www.guiavitaminway.com.ar/colesterol/omega-3","https://www.guiavitaminway.com.ar/templates/yootheme/cache/4d/Cuadros_Info._Nutricional_Omega_3-4dd2603b.jpeg","colesterol\omega-3\03_Cuadros_Info._Nutricional_Omega_3-4dd2603b.jpeg"
"colesterol","omega-3","https://www.guiavitaminway.com.ar/colesterol/omega-3","https://www.guiavitaminway.com.ar/templates/yootheme/cache/aa/omega_3_packs_vitaminway-aab9ba1b.png","colesterol\omega-3\04_omega_3_packs_vitaminway-aab9ba1b.png"
"colesterol","omega-3","https://www.guiavitaminway.com.ar/colesterol/omega-3","https://www.guiavitaminway.com.ar/templates/yootheme/cache/e0/omega_3_packs_vitaminway-e0e07fdb.png","colesterol\omega-3\05_omega_3_packs_vitaminway-e0e07fdb.png"
"colesterol","omega-3-duo","https://www.guiavitaminway.com.ar/colesterol/omega-3-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/5c/omega3_duo_packs_vitaminway-5c45a150.png","colesterol\omega-3-duo\01_omega3_duo_packs_vitaminway-5c45a150.png"
"colesterol","omega-3-duo","https://www.guiavitaminway.com.ar/colesterol/omega-3-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/73/omega3_duo_packs_vitaminway-7370275d.png","colesterol\omega-3-duo\02_omega3_duo_packs_vitaminway-7370275d.png"
"colesterol","omega-3-duo","https://www.guiavitaminway.com.ar/colesterol/omega-3-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/a1/foto_omega3_duo-a1e66da4.jpeg","colesterol\omega-3-duo\03_foto_omega3_duo-a1e66da4.jpeg"
"colesterol","omega-3-duo","https://www.guiavitaminway.com.ar/colesterol/omega-3-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/f8/foto_omega3_duo-f8bfa0b4.jpeg","colesterol\omega-3-duo\04_foto_omega3_duo-f8bfa0b4.jpeg"
"colesterol","omega-3-duo","https://www.guiavitaminway.com.ar/colesterol/omega-3-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/ff/Cuadros_Info._Nutricional_Omega_3_d_o_1-ff9ad52a.jpeg","colesterol\omega-3-duo\05_Cuadros_Info._Nutricional_Omega_3_d_o_1-ff9ad52a.jpeg"
"detox","clorofila-cleanse","https://www.guiavitaminway.com.ar/detox/clorofila-cleanse","https://www.guiavitaminway.com.ar/templates/yootheme/cache/04/clorofila_cleans_packs_vitaminway-0401cb56.png","detox\clorofila-cleanse\01_clorofila_cleans_packs_vitaminway-0401cb56.png"
"detox","clorofila-cleanse","https://www.guiavitaminway.com.ar/detox/clorofila-cleanse","https://www.guiavitaminway.com.ar/templates/yootheme/cache/16/foto_clorofila-16d5db1e.jpeg","detox\clorofila-cleanse\02_foto_clorofila-16d5db1e.jpeg"
"detox","clorofila-cleanse","https://www.guiavitaminway.com.ar/detox/clorofila-cleanse","https://www.guiavitaminway.com.ar/templates/yootheme/cache/1c/Cuadros_Info._Nutricional_Clorofila-1c68e3f0.jpeg","detox\clorofila-cleanse\03_Cuadros_Info._Nutricional_Clorofila-1c68e3f0.jpeg"
"detox","clorofila-cleanse","https://www.guiavitaminway.com.ar/detox/clorofila-cleanse","https://www.guiavitaminway.com.ar/templates/yootheme/cache/31/clorofila_cleans_packs_vitaminway-31a20d6d.png","detox\clorofila-cleanse\04_clorofila_cleans_packs_vitaminway-31a20d6d.png"
"detox","clorofila-cleanse","https://www.guiavitaminway.com.ar/detox/clorofila-cleanse","https://www.guiavitaminway.com.ar/templates/yootheme/cache/36/foto_clorofila-36b5107c.jpeg","detox\clorofila-cleanse\05_foto_clorofila-36b5107c.jpeg"
"detox","detox","https://www.guiavitaminway.com.ar/detox/detox","https://www.guiavitaminway.com.ar/templates/yootheme/cache/30/detox_packs_vitaminway-30a22b16.png","detox\detox\01_detox_packs_vitaminway-30a22b16.png"
"detox","detox","https://www.guiavitaminway.com.ar/detox/detox","https://www.guiavitaminway.com.ar/templates/yootheme/cache/6b/detox_packs_vitaminway-6b97ea27.png","detox\detox\02_detox_packs_vitaminway-6b97ea27.png"
"detox","detox","https://www.guiavitaminway.com.ar/detox/detox","https://www.guiavitaminway.com.ar/templates/yootheme/cache/a7/foto_detox-a707b0e2.jpeg","detox\detox\03_foto_detox-a707b0e2.jpeg"
"detox","detox","https://www.guiavitaminway.com.ar/detox/detox","https://www.guiavitaminway.com.ar/templates/yootheme/cache/ea/foto_detox-ea340a71.jpeg","detox\detox\04_foto_detox-ea340a71.jpeg"
"detox","detox","https://www.guiavitaminway.com.ar/detox/detox","https://www.guiavitaminway.com.ar/templates/yootheme/cache/f6/Cuadros_Info._Nutricional_Detox-f65b98c5.jpeg","detox\detox\05_Cuadros_Info._Nutricional_Detox-f65b98c5.jpeg"
"digestion","cascara-sagrada-aloe","https://www.guiavitaminway.com.ar/digestion/cascara-sagrada-aloe","https://www.guiavitaminway.com.ar/templates/yootheme/cache/33/foto_cascara_sagrada-33af6f18.jpeg","digestion\cascara-sagrada-aloe\01_foto_cascara_sagrada-33af6f18.jpeg"
"digestion","cascara-sagrada-aloe","https://www.guiavitaminway.com.ar/digestion/cascara-sagrada-aloe","https://www.guiavitaminway.com.ar/templates/yootheme/cache/41/cascara_sagrada_aloe_packs_vitaminway-41249c5d.png","digestion\cascara-sagrada-aloe\02_cascara_sagrada_aloe_packs_vitaminway-41249c5d.png"
"digestion","cascara-sagrada-aloe","https://www.guiavitaminway.com.ar/digestion/cascara-sagrada-aloe","https://www.guiavitaminway.com.ar/templates/yootheme/cache/bc/cascara_sagrada_aloe_packs_vitaminway-bc8184ee.png","digestion\cascara-sagrada-aloe\03_cascara_sagrada_aloe_packs_vitaminway-bc8184ee.png"
"digestion","cascara-sagrada-aloe","https://www.guiavitaminway.com.ar/digestion/cascara-sagrada-aloe","https://www.guiavitaminway.com.ar/templates/yootheme/cache/fe/foto_cascara_sagrada-fe12c883.jpeg","digestion\cascara-sagrada-aloe\04_foto_cascara_sagrada-fe12c883.jpeg"
"digestion","probioticos-prebiotico","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico","https://www.guiavitaminway.com.ar/images/vitaminway_guia/como_se_usa/cuadro_probiotico.jpg","digestion\probioticos-prebiotico\01_cuadro_probiotico.jpg"
"digestion","probioticos-prebiotico","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico","https://www.guiavitaminway.com.ar/templates/yootheme/cache/22/foto_probioticos-22fb1262.jpeg","digestion\probioticos-prebiotico\02_foto_probioticos-22fb1262.jpeg"
"digestion","probioticos-prebiotico","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico","https://www.guiavitaminway.com.ar/templates/yootheme/cache/3b/foto_probioticos-3b912547.jpeg","digestion\probioticos-prebiotico\03_foto_probioticos-3b912547.jpeg"
"digestion","probioticos-prebiotico","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico","https://www.guiavitaminway.com.ar/templates/yootheme/cache/44/probiotico_1k_packs_vitaminway-44060204.png","digestion\probioticos-prebiotico\04_probiotico_1k_packs_vitaminway-44060204.png"
"digestion","probioticos-prebiotico","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico","https://www.guiavitaminway.com.ar/templates/yootheme/cache/4b/cuadro_probioticos_nuevo-4bbf49d5.jpeg","digestion\probioticos-prebiotico\05_cuadro_probioticos_nuevo-4bbf49d5.jpeg"
"digestion","probioticos-prebiotico","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico","https://www.guiavitaminway.com.ar/templates/yootheme/cache/d9/probiotico_1k_packs_vitaminway-d97f4968.png","digestion\probioticos-prebiotico\06_probiotico_1k_packs_vitaminway-d97f4968.png"
"digestion","probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/templates/yootheme/cache/33/probiotico_10k_packs_vitaminway-33c008ac.png","digestion\probioticos-prebiotico-10-k\01_probiotico_10k_packs_vitaminway-33c008ac.png"
"digestion","probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/templates/yootheme/cache/52/probioticos_10K_CUADRO-52398aa3.jpeg","digestion\probioticos-prebiotico-10-k\02_probioticos_10K_CUADRO-52398aa3.jpeg"
"digestion","probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/templates/yootheme/cache/5b/probiotico_10k_packs_vitaminway-5bf30d43.png","digestion\probioticos-prebiotico-10-k\03_probiotico_10k_packs_vitaminway-5bf30d43.png"
"digestion","probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/templates/yootheme/cache/7b/foto_probiotico_10_k-7b573de2.jpeg","digestion\probioticos-prebiotico-10-k\04_foto_probiotico_10_k-7b573de2.jpeg"
"digestion","probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/digestion/probioticos-prebiotico-10-k","https://www.guiavitaminway.com.ar/templates/yootheme/cache/9b/foto_probiotico_10_k-9b8089b9.jpeg","digestion\probioticos-prebiotico-10-k\05_foto_probiotico_10_k-9b8089b9.jpeg"
"digestion","probioticos-vitaminas","https://www.guiavitaminway.com.ar/digestion/probioticos-vitaminas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/21/probioticos_vitaminas_imagen-211e01ac.jpeg","digestion\probioticos-vitaminas\01_probioticos_vitaminas_imagen-211e01ac.jpeg"
"digestion","probioticos-vitaminas","https://www.guiavitaminway.com.ar/digestion/probioticos-vitaminas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/28/probioticos_vitamina_packs_vitaminway-2870fc58.png","digestion\probioticos-vitaminas\02_probioticos_vitamina_packs_vitaminway-2870fc58.png"
"digestion","probioticos-vitaminas","https://www.guiavitaminway.com.ar/digestion/probioticos-vitaminas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/9b/probioticos_vitaminas_imagen-9be1cec9.jpeg","digestion\probioticos-vitaminas\03_probioticos_vitaminas_imagen-9be1cec9.jpeg"
"digestion","probioticos-vitaminas","https://www.guiavitaminway.com.ar/digestion/probioticos-vitaminas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/bc/probioticos_vitamina_packs_vitaminway-bcc65142.png","digestion\probioticos-vitaminas\04_probioticos_vitamina_packs_vitaminway-bcc65142.png"
"digestion","probioticos-vitaminas","https://www.guiavitaminway.com.ar/digestion/probioticos-vitaminas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/f6/probioticos_vitaminas_cuadro-f6e15b9b.jpeg","digestion\probioticos-vitaminas\05_probioticos_vitaminas_cuadro-f6e15b9b.jpeg"
"digestion","vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/digestion/vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/templates/yootheme/cache/9e/vinagre_sidra_manzana_packs_vitaminway-9e7f9f56.png","digestion\vinagre-de-sidra-de-manzana\01_vinagre_sidra_manzana_packs_vitaminway-9e7f9f56.png"
"digestion","vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/digestion/vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/templates/yootheme/cache/a5/vinagre_de_sidra_de_manzana_foto-a55a0d0f.jpeg","digestion\vinagre-de-sidra-de-manzana\02_vinagre_de_sidra_de_manzana_foto-a55a0d0f.jpeg"
"digestion","vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/digestion/vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/templates/yootheme/cache/e5/vinagre_de_sidra_de_manzana_foto-e564f773.jpeg","digestion\vinagre-de-sidra-de-manzana\03_vinagre_de_sidra_de_manzana_foto-e564f773.jpeg"
